run_id,entity_type,entity_id,metric,value,window_start,window_end
run-c60747aa,link,link-1,errors,1.075,2026-01-30 17:57:08.783723+00:00,2026-01-30 17:57:08.785424+00:00
run-c60747aa,link,link-1,drops,0.5,2026-01-30 17:57:08.783723+00:00,2026-01-30 17:57:08.785424+00:00
run-c60747aa,link,link-1,retries,0.475,2026-01-30 17:57:08.783723+00:00,2026-01-30 17:57:08.785424+00:00
run-c60747aa,link,link-1,fec_corrected,3.15,2026-01-30 17:57:08.783723+00:00,2026-01-30 17:57:08.785424+00:00
run-c60747aa,link,link-1,fec_uncorrected,1.575,2026-01-30 17:57:08.783723+00:00,2026-01-30 17:57:08.785424+00:00
run-c60747aa,link,link-1,ber,2.048677595376602e-09,2026-01-30 17:57:08.783723+00:00,2026-01-30 17:57:08.785424+00:00
run-c60747aa,link,link-1,temperature_c,42.43063817498337,2026-01-30 17:57:08.783723+00:00,2026-01-30 17:57:08.785424+00:00
run-c60747aa,link,link-1,rx_power_dbm,-1.5732455808409442,2026-01-30 17:57:08.783723+00:00,2026-01-30 17:57:08.785424+00:00
run-c60747aa,link,link-1,tx_power_dbm,0.1966851677636509,2026-01-30 17:57:08.783723+00:00,2026-01-30 17:57:08.785424+00:00
run-c60747aa,link,link-1,congestion_pct,4.861929072391997,2026-01-30 17:57:08.783723+00:00,2026-01-30 17:57:08.785424+00:00
run-c60747aa,link,link-1,power_kw,81.69860717581707,2026-01-30 17:57:08.783723+00:00,2026-01-30 17:57:08.785424+00:00
run-c60747aa,link,link-1,energy_kwh,101.23936539887177,2026-01-30 17:57:08.783723+00:00,2026-01-30 17:57:08.785424+00:00
run-c60747aa,link,link-1,current_a,149.9767397458901,2026-01-30 17:57:08.783723+00:00,2026-01-30 17:57:08.785424+00:00
run-c60747aa,link,link-1,voltage_v,540.5869321795037,2026-01-30 17:57:08.783723+00:00,2026-01-30 17:57:08.785424+00:00
run-c60747aa,link,link-1,battery_soc_pct,54.41339663168304,2026-01-30 17:57:08.783723+00:00,2026-01-30 17:57:08.785424+00:00
run-c60747aa,link,link-2,errors,3.0,2026-01-30 17:57:08.783723+00:00,2026-01-30 17:57:08.785424+00:00
run-c60747aa,link,link-2,drops,1.075,2026-01-30 17:57:08.783723+00:00,2026-01-30 17:57:08.785424+00:00
run-c60747aa,link,link-2,retries,0.55,2026-01-30 17:57:08.783723+00:00,2026-01-30 17:57:08.785424+00:00
run-c60747aa,link,link-2,fec_corrected,2.85,2026-01-30 17:57:08.783723+00:00,2026-01-30 17:57:08.785424+00:00
run-c60747aa,link,link-2,fec_uncorrected,1.425,2026-01-30 17:57:08.783723+00:00,2026-01-30 17:57:08.785424+00:00
run-c60747aa,link,link-2,ber,4.414932057653053e-09,2026-01-30 17:57:08.783723+00:00,2026-01-30 17:57:08.785424+00:00
run-c60747aa,link,link-2,temperature_c,43.31004604454881,2026-01-30 17:57:08.783723+00:00,2026-01-30 17:57:08.785424+00:00
run-c60747aa,link,link-2,rx_power_dbm,-1.639131879549404,2026-01-30 17:57:08.783723+00:00,2026-01-30 17:57:08.785424+00:00
